"source,headline,pubDate,date,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day"
"Yahoo Finance,PNC completes $4.1bn purchase of FirstBank,2026-01-06 11:52:42+00:00,2026-01-06,42,,,,,,,True"
"Yahoo Finance,""Stock market today: Dow, S&P 500, Nasdaq futures take a breather after Dow's record rally"",2026-01-05 23:52:17+00:00,2026-01-05,89,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Top executives at subprime auto lender charged with fraud. Here’s how prosecutors say they misled banks to earn billions,2026-01-06 11:45:00+00:00,2026-01-06,120,,,,,,,True"
"Yahoo Finance,Morning Bid: Swiftly moving on ,2026-01-06 11:06:08+00:00,2026-01-06,31,,,,,,,True"
"Yahoo Finance,""HELOC and home equity loan rates today, January 6, 2026: Holding near 7.5%"",2026-01-06 11:00:41+00:00,2026-01-06,74,,,,,,,True"
"Yahoo Finance,Verallia appoints Cristina Riesgo as CFO,2026-01-06 11:50:26+00:00,2026-01-06,40,,,,,,,True"
"Yahoo Finance,""Best CD rates today, January 6, 2026: Lock in up to 4.1% APY today"",2026-01-06 11:00:39+00:00,2026-01-06,66,,,,,,,True"
"Yahoo Finance,""Best money market account rates today, January 6, 2026 (Earn up to 4.1% APY)"",2026-01-06 11:00:24+00:00,2026-01-06,76,,,,,,,True"
"Yahoo Finance,""Best high-yield savings interest rates today, January 6, 2026 (Earn up to 4% APY)"",2026-01-06 11:00:12+00:00,2026-01-06,81,,,,,,,True"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 6, 2026: Bubbling just above and below 6%"",2026-01-06 11:00:01+00:00,2026-01-06,94,,,,,,,True"
"Yahoo Finance,Richard Baker appointed Saks Global CEO as Marc Metrick steps down,2026-01-06 11:44:43+00:00,2026-01-06,66,,,,,,,True"
"Yahoo Finance,How to become a millionaire in the US with a 9-to-5 salary (even a mediocre one). Make your biggest jump in 2026,2026-01-06 11:00:00+00:00,2026-01-06,112,,,,,,,True"
"Yahoo Finance,Microchip Technology raises Q3 revenue forecast on strong bookings,2026-01-05 21:55:54+00:00,2026-01-05,66,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Shaq revealed the 1 concept he used to preserve his fortune as an NBA player,2026-01-06 10:27:00+00:00,2026-01-06,76,,,,,,,True"
"Yahoo Finance,""Why Big Oil has a long road ahead in Venezuela, the 'fallen angel of global crude markets'"",2026-01-05 19:26:28+00:00,2026-01-05,90,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Stonegate’s Pub Partners confirms £30m pipeline after £12m Q1 investment,2026-01-06 11:38:14+00:00,2026-01-06,72,,,,,,,True"
"Yahoo Finance,IDEX Corporation‘s Q4 2025 Earnings: What to Expect,2026-01-06 08:11:27+00:00,2026-01-06,51,,,,,,,True"
"Yahoo Finance,""Best high-yield savings interest rates today, January 5, 2026 (Earn up to 4% APY)"",2026-01-05 11:00:45+00:00,2026-01-05,81,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Best money market account rates today, January 5, 2026 (Earn up to 4.1% APY)"",2026-01-05 11:00:22+00:00,2026-01-05,76,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 5, 2026: Rates barely above 6% but look for even lower offers"",2026-01-05 11:00:23+00:00,2026-01-05,114,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Aktis Oncology kicks 2026 IPO cycle off with $210m target,2026-01-06 11:38:08+00:00,2026-01-06,57,,,,,,,True"
"Yahoo Finance,""HELOC and home equity loan rates Monday, January 5, 2026: Both options feature lower rates"",2026-01-05 11:00:27+00:00,2026-01-05,90,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Gold price today, Monday, January 5: Gold price rises after U.S. captures Venezuelan president"",2026-01-05 12:18:57+00:00,2026-01-05,94,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Best CD rates today, January 5, 2026 (Lock in up to 4.1% APY)"",2026-01-05 11:00:21+00:00,2026-01-05,61,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,4 money market accounts with interest rates of 4% APY and higher (updated weekly),2025-04-15 16:01:54+00:00,2025-04-15,81,,,,,,,True"
"Yahoo Finance,""Claire’s and The Original Factory Shop face administration, 2,550 jobs at risk"",2026-01-06 11:32:06+00:00,2026-01-06,78,,,,,,,True"
"Yahoo Finance,When will mortgage rates go down? The outlook heading into 2026.,2025-04-22 19:06:10+00:00,2025-04-22,64,,,,,,,True"
"Yahoo Finance,11 savings accounts with interest rates of 4% APY and higher (updated weekly),2024-06-04 17:53:01+00:00,2024-06-04,77,,,,,,,True"
"Yahoo Finance,""Best travel credit cards for January 2026: Earn free flights, hotel stays, and more"",2025-11-12 17:27:58+00:00,2025-11-12,83,,,,,,,True"
"Yahoo Finance,Best credit cards with no annual fee for January 2026,2024-11-25 20:47:47+00:00,2024-11-25,53,,,,,,,True"
"Yahoo Finance,Is this a good time to buy a house?,2024-01-26 22:46:12+00:00,2024-01-26,35,,,,,,,True"
"Yahoo Finance,The best credit cards for Airbnb rentals in January 2026: Earn points and cash back for your stay,2025-04-14 18:32:12+00:00,2025-04-14,97,,,,,,,True"
"Yahoo Finance,The best financial habits to start in January — backed by data,2026-01-05 14:00:45+00:00,2026-01-05,62,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,The best balance transfer credit cards for January 2026: Don't pay any interest until 2027,2025-09-08 19:03:15+00:00,2025-09-08,90,,,,,,,True"
"Yahoo Finance,IBM powers digital upgrade for Egypt’s Bank NXT,2026-01-06 11:29:05+00:00,2026-01-06,47,,,,,,,True"
"Yahoo Finance,""Mortgage lenders with the best rates this week, January 5, 2026"",2025-11-03 17:08:34+00:00,2025-11-03,63,,,,,,,True"
"Yahoo Finance,Student loans will look different in 2026. Here's what's changing.,2025-12-17 22:09:15+00:00,2025-12-17,66,2025-12-17,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,50138700.0,False"
"Yahoo Finance,5 best banks and credit unions for military in 2026,2025-02-27 20:25:30+00:00,2025-02-27,51,,,,,,,True"
"Yahoo Finance,""Trump accounts explained: How they work, who qualifies"",2025-12-04 20:57:05+00:00,2025-12-04,54,,,,,,,True"
"Yahoo Finance,Analyst Report: Chewy Inc,2026-01-05 17:20:12+00:00,2026-01-05,25,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,CRC Group moves into transactional risk market with Euclid purchase,2026-01-06 11:27:25+00:00,2026-01-06,67,,,,,,,True"
"Yahoo Finance,Best credit card sign-up bonuses and welcome offers for January 2026 — Enjoy boosted first-year credit card rewards,2025-07-02 16:24:30+00:00,2025-07-02,115,,,,,,,True"
"CNBC,""GM posts 5.5% U.S. sales gain in 2025, Stellantis' Jeep marks first increase in seven years"",,,91,,,,,,,True"
"CNBC,""Lucid increases EV deliveries by 55% in 2025, meets lowered guidance"",,,68,,,,,,,True"
"CNBC,Comcast spinoff Versant starts trading on Nasdaq in rare media debut,,,68,,,,,,,True"
"CNBC,First GLP-1 pill for obesity from Novo Nordisk launches in the U.S. ,,,68,,,,,,,True"
"CNBC,Chick-fil-A launches its biggest ever marketing campaign as restaurant industry traffic shrinks,,,95,,,,,,,True"
"CNBC,Saks Global announces new CEO as it reportedly prepares for bankruptcy,,,70,,,,,,,True"
"CNBC,Behind the mesh curtain: Why airline class wars will intensify in 2026,,,70,,,,,,,True"
"CNBC,""Stellantis resurrects $100,000 Ram TRX V-8 pickup truck amid industry deregulation"",,,82,,,,,,,True"
"CNBC,""Home prices are getting slightly more affordable, but down payments are still holding buyers back"",,,97,,,,,,,True"
"CNBC,These restaurant chains closed locations in 2025,,,48,,,,,,,True"
"CNBC,Tech startup Hyphen is bringing AI to the lunch line — with help from Cava and Chipotle,,,87,,,,,,,True"
"CNBC,Here’s what to expect for commercial real estate in 2026,,,56,,,,,,,True"
"CNBC,""GM's record stock performance beats Tesla, Ford and other automakers in 2025"",,,76,,,,,,,True"
"CNBC,Restaurants' hottest menu item in 2025 was 'value.' That won't change next year,,,79,,,,,,,True"
"CNBC,""Airlines cancel 1,400 more flights but disruptions from winter storm ease. Here’s what to know"",,,94,,,,,,,True"
"CNBC,""Tariffs hit boots, bags and more as leather prices jump — and relief could be years away"",,,88,,,,,,,True"
"CNBC,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning ,,,94,,,,,,,True"
"CNBC,Tanger CEO says retailers are 'discounting to meet the consumer' this holiday season,,,84,,,,,,,True"
"CNBC,Southwest's profits are down 42% this year but it's the top U.S. airline stock,,,78,,,,,,,True"
"CNBC,EV realism is here. How automakers react in 2026 will be telling,,,64,,,,,,,True"
"CNBC,""Holiday retail spending rose 4.2% this season, driven by e-commerce and electronics: Visa report"",,,96,,,,,,,True"
"CNBC,FDA approves first GLP-1 pill for obesity from Wegovy maker Novo Nordisk,,,72,,,,,,,True"
"CNBC,Why Warner Bros. Discovery shareholders might opt for Paramount's offer — and why they might not,,,96,,,,,,,True"
"CNBC,Paramount guarantees Larry Ellison backing in amended WBD bid,,,61,,,,,,,True"
"CNBC,The NBA is pursuing ownership groups for a potential basketball league in Europe ,,,81,,,,,,,True"
"CNBC,""Brick trophies, a life-size pink Cadillac and a team sponsorship: Why Lego is going all in on F1"",,,96,,,,,,,True"
"CNBC,Supplements in your stocking: Why wellness gifts are gaining steam for the holidays and beyond,,,94,,,,,,,True"
"CNBC,Disney's 'Avatar: Fire and Ash' disappoints with weak $88 million domestic opening,,,82,,,,,,,True"
"CNBC,How Build-A-Bear went from a penny stock to a retail winner,,,59,,,,,,,True"
"CNBC,""Inside the dealmaking that pushed Trump to reclassify pot, expand access"",,,72,,,,,,,True"
"MarketWatch,""Bitcoin’s weakness is saying there will be a handoff to old-economy stocks, these market veterans say"",,,101,,,,,,,True"
"MarketWatch,‘He even bragged about his Mercedes-Benz:’ I rejected two egotistical advisers. I managed my life savings and they tripled over 25 years. Did I do OK?,,,150,,,,,,,True"
"MarketWatch,Adidas gets hit with rare double downgrade as BofA calls the end of the ‘casualization’ trend,,,93,,,,,,,True"
"MarketWatch,‘It’s been a struggle getting payments from her’: I rent a house to our daughter. Do I just gift her the house?,,,111,,,,,,,True"
"MarketWatch,""Maduro’s rendition is a Franz Ferdinand moment spelling the end of the 60/40 portfolio, say these strategists"",,,109,,,,,,,True"
"MarketWatch,Aubrey Plaza delists $6.5 million home where her husband died,,,61,,,,,,,True"
"MarketWatch,""As AMD chases Nvidia, here’s how it’s positioning itself for the future of AI"",,,77,,,,,,,True"
"MarketWatch,Manchester United’s stock climbs after football club fires manager Ruben Amorim,,,79,,,,,,,True"
"MarketWatch,Under Armour has a new fan — in the firm founded by the ‘Warren Buffett of Canada’,,,82,,,,,,,True"
"MarketWatch,New weight-loss pill version of Novo Nordisk’s Wegovy is now available. Here’s how rival stocks Lilly and Viking are reacting.,,,126,,,,,,,True"
